graph,alpha_log2,eps_log2,alpha,eps,n,edges,status,triv,lvl0_over_eps,W_push,W_WY,W_target,E_expansions,tightenings,winner,ratio_to_target,err_push_over_eps,err_wy_over_eps,push_maxrd_over_eps,const_push,const_wy,wy_S,wy_volS,wy_nnzlu,wy_C_adj,wy_R_adj,wy_C_rec,wy_C_resp,push_C_adj,push_R_adj,n_push,wall_push,wall_wy
btree,-3,-12,0.125,0.000244140625,8191,8190,ok,0,598.8838294249219,2378,2134,11585.237502960394,6,0,WY,0.18419993543116364,0.672903378198157,0.5179328603659069,0.9528887321626769,0.07257080078125,0.0001271963119506836,63,188,250,188,188,354,1404,380,1998,800,0.0,0.004
btree,-3,-13,0.125,0.0001220703125,16383,16382,ok,0,1197.76765013839,3738,5450,23170.475005920787,8,1,push,0.16132599780733123,0.7870148172755762,0.31972884218366204,0.9986669594285168,0.057037353515625,8.121132850646973e-05,127,380,506,380,476,922,3672,380,3358,1254,0.0,0.005
btree,-4,-3,0.0625,0.125,15,14,ok,1,0.7913179916317994,4,12,32.0,1,0,push,0.125,0.4241304916317994,0.3634937238493726,0.91796875,0.03125,0.1875,1,2,2,2,2,2,6,2,2,2,0.0,0.0
btree,-4,-4,0.0625,0.0625,31,30,ok,0,1.4605508870214756,26,12,64.0,1,0,WY,0.1875,0.4192498363324042,0.5886243386243389,0.79695790191181,0.1015625,0.046875,1,2,2,2,2,2,6,8,18,10,0.0,0.0
btree,-4,-5,0.0625,0.03125,63,62,ok,0,2.852721989172976,54,72,128.0,3,1,push,0.421875,0.5096272112472362,0.44321670455344436,0.9910588921595576,0.10546875,0.0703125,3,8,10,8,10,12,42,20,34,20,0.0,0.001
btree,-4,-6,0.0625,0.015625,127,126,ok,0,5.66654153910443,126,62,256.0,2,0,WY,0.2421875,0.5439865080701729,0.8309325957889864,0.9942314131820842,0.123046875,0.01513671875,3,8,10,8,8,10,36,20,106,45,0.0,0.001
btree,-4,-7,0.0625,0.0078125,255,254,ok,0,11.310852797369446,270,228,512.0,4,1,WY,0.4453125,0.6055690366821338,0.6284383993773413,0.9900619744514675,0.1318359375,0.013916015625,7,20,26,20,26,38,144,44,226,94,0.0,0.001
btree,-4,-8,0.0625,0.00390625,511,510,ok,0,22.608986374190096,590,560,1024.0,5,1,WY,0.546875,0.6192428851485232,0.47542426581865144,0.9169068640004112,0.14404296875,0.008544921875,15,44,58,44,56,94,366,92,498,202,0.0,0.002
btree,-4,-9,0.0625,0.001953125,1023,1022,ok,0,45.210692728169015,1146,450,2048.0,4,0,WY,0.2197265625,0.5652072507968029,0.9330386901926571,0.9119342017217655,0.139892578125,0.00171661376953125,15,44,58,44,44,74,288,188,958,389,0.0,0.001
btree,-4,-10,0.0625,0.0009765625,2047,2046,ok,0,90.41721820720645,1914,1004,4096.0,5,0,WY,0.2451171875,0.6514084042855046,0.705932337022864,0.9368297200849168,0.1168212890625,0.000957489013671875,31,92,122,92,92,166,654,188,1726,646,0.0,0.002
btree,-4,-11,0.0625,0.00048828125,4095,4094,ok,0,180.83205091582295,3898,2640,8192.0,7,1,WY,0.322265625,0.6387001475165069,0.5341083313099867,0.8061909295826148,0.11895751953125,0.000629425048828125,63,188,250,188,236,446,1770,380,3518,1309,0.0,0.003
btree,-4,-12,0.0625,0.000244140625,8191,8190,ok,0,361.66273626615623,6234,5450,16384.0,8,1,WY,0.3326416015625,0.6765118622111194,0.40410706656369294,0.9055090178085039,0.095123291015625,0.0003248453140258789,127,380,506,380,476,922,3672,764,5470,2089,0.0,0.005
btree,-4,-13,0.0625,0.0001220703125,16383,16382,ok,0,723.3246908200014,11834,4416,32768.0,7,0,WY,0.134765625,0.7406259044638167,0.8038059194066801,0.9942983703771361,0.0902862548828125,6.580352783203125e-05,127,380,506,380,380,734,2922,1532,10302,3957,0.0,0.004
btree,-5,-3,0.03125,0.125,15,14,ok,1,0.5531238101281895,4,12,45.25483399593904,1,0,push,0.08838834764831845,0.36757693512818945,0.3307447011042016,0.9586588541666666,0.015625,0.1875,1,2,2,2,2,2,6,2,2,2,0.0,0.0
btree,-5,-4,0.03125,0.0625,31,30,ok,1,0.9152463445941713,26,12,90.50966799187808,1,0,WY,0.13258252147247768,0.37624948808960623,0.45816546360024696,0.926229706527684,0.05078125,0.046875,1,2,2,2,2,2,6,8,18,10,0.0,0.0
btree,-5,-5,0.03125,0.03125,63,62,ok,0,1.6967118785709503,74,12,181.01933598375615,1,0,WY,0.06629126073623884,0.4101758248535674,0.7739190965432698,0.9677560896141956,0.072265625,0.01171875,1,2,2,2,2,2,6,20,54,27,0.0,0.0
btree,-5,-6,0.03125,0.015625,127,126,ok,0,3.297065227870847,198,72,362.0386719675123,3,1,WY,0.19887378220871652,0.4028024717592751,0.6592260226171563,0.9933077765312209,0.0966796875,0.017578125,3,8,10,8,10,12,42,44,154,70,0.0,0.001
btree,-5,-7,0.03125,0.0078125,255,254,ok,0,6.524030277189126,494,228,724.0773439350246,4,1,WY,0.3148834884971345,0.44724139761033843,0.5630209101709963,0.856384299130753,0.12060546875,0.013916015625,7,20,26,20,26,38,144,92,402,170,0.0,0.001
btree,-5,-8,0.03125,0.00390625,511,510,ok,0,12.996878340763592,934,670,1448.1546878700492,6,2,WY,0.46265775722166685,0.5147687649555124,0.48132041610463433,0.9591450436069442,0.114013671875,0.010223388671875,15,44,58,44,68,114,444,92,842,318,0.0,0.003
btree,-5,-9,0.03125,0.001953125,1023,1022,ok,0,25.95633770911826,1870,560,2896.3093757400984,5,1,WY,0.1933495104806966,0.5287691558496839,0.9024223723491727,0.9755014687670136,0.1141357421875,0.00213623046875,15,44,58,44,56,94,366,188,1682,632,0.0,0.002
btree,-5,-10,0.03125,0.0009765625,2047,2046,ok,0,51.885305470714385,3762,1246,5792.618751480197,6,1,WY,0.21510133040977497,0.5162988261800265,0.7718429268033794,0.9531975333745768,0.11480712890625,0.0011882781982421875,31,92,122,92,116,210,828,380,3382,1265,0.0,0.002
btree,-5,-11,0.03125,0.00048828125,4095,4094,ok,0,103.75058778166539,6622,2640,11585.237502960394,7,1,WY,0.227876208780821,0.5942847396399031,0.6601893306879295,0.9919465121873849,0.101043701171875,0.000629425048828125,63,188,250,188,236,446,1770,764,5858,2220,0.0,0.003
btree,-5,-12,0.03125,0.000244140625,8191,8190,ok,0,207.48652618293835,13870,5450,23170.475005920787,8,1,WY,0.23521313216959744,0.6193238441121309,0.5646971193134842,0.9616024600957442,0.1058197021484375,0.0003248453140258789,127,380,506,380,476,922,3672,1532,12338,4638,0.0,0.004
btree,-5,-13,0.03125,0.0001220703125,16383,16382,ok,0,414.96233430693934,24790,11092,46340.950011841574,9,1,WY,0.23935633596561237,0.6639027337810148,0.4830203030158022,0.9562220801194307,0.09456634521484375,0.0001652836799621582,255,764,1018,764,956,1878,7494,1532,23258,8280,0.0,0.007
btree,-6,-3,0.015625,0.125,15,14,ok,1,0.4235062069997032,4,12,64.0,1,0,push,0.0625,0.3302444882497032,0.30996672150763027,0.979248046875,0.0078125,0.1875,1,2,2,2,2,2,6,2,2,2,0.0,0.0
btree,-6,-4,0.015625,0.0625,31,30,ok,1,0.6064400806426431,26,12,128.0,1,0,WY,0.09375,0.3321761848341407,0.3717238927265365,0.9968704005211322,0.025390625,0.046875,1,2,2,2,2,2,6,8,18,10,0.0,0.0
btree,-6,-5,0.015625,0.03125,63,62,ok,0,1.0224345094016172,102,12,256.0,1,0,WY,0.046875,0.31617925159613347,0.5469562398588115,0.7665689248224861,0.0498046875,0.01171875,1,2,2,2,2,2,6,20,82,37,0.0,0.0
btree,-6,-6,0.015625,0.015625,127,126,ok,0,1.8882434181483654,242,12,512.0,1,0,WY,0.0234375,0.3477687850521889,0.932314637772123,0.8975623398248745,0.05908203125,0.0029296875,1,2,2,2,2,2,6,44,198,85,0.0,0.0
btree,-6,-7,0.015625,0.0078125,255,254,ok,0,3.645661965497752,538,72,1024.0,3,1,WY,0.0703125,0.39631584942420206,0.8540102131044882,0.982230420562085,0.065673828125,0.00439453125,3,8,10,8,10,12,42,92,446,185,0.0,0.001
