family,vertices,alpha,epsilon,engine,stage1_work,stage1_pushes,envelope_volume,reference_support_volume,handoff_semantic_error,tail_iterations,stage2_work,total_work,semantic_error,screen_succeeded
cycle-96,96,0.01,0.1,priority-gs-direct-ppr,18,9,10,192,0.032559982401061886,0,0,18,0.032559982401061886,
cycle-96,96,0.01,0.1,appr-envelope,64,32,18,14,0.025468496611293044,0,0,64,0.05000000043011356,
cycle-96,96,0.01,0.1,gs-gap-envelope-oracle-stop,190,95,2,22,0.04090909134789364,0,0,190,0.05000000043011356,
cycle-96,96,0.01,0.1,priority-gs-positive-key-envelope,104,52,2,22,0.04090909134789364,0,0,104,0.05000000043011356,
cycle-96,96,0.01,0.1,priority-gs-positive-key-envelope-tuned,78,39,2,14,0.04090909134789364,0,0,78,0.05000000043011356,
cycle-96,96,0.04,0.05,appr-direct-ppr,42,21,14,14,0.02480920748737018,0,0,42,0.02480920748737018,
cycle-96,96,0.04,0.05,green-ball-screen-or-appr,82,21,14,14,0.02480920748737018,0,0,82,0.02480920748737018,False
cycle-96,96,0.04,0.05,priority-gs-direct-ppr,42,21,14,192,0.02480920748737018,0,0,42,0.02480920748737018,
cycle-96,96,0.04,0.05,appr-envelope,118,59,22,18,0.01153061770008771,6,132,250,0.02621439999999994,
cycle-96,96,0.04,0.05,gs-gap-envelope-oracle-stop,238,119,14,22,0.01975308641975307,7,98,336,0.020971519999999938,
cycle-96,96,0.04,0.05,priority-gs-positive-key-envelope,122,61,14,22,0.01975308641975307,7,98,220,0.020971519999999938,
cycle-96,96,0.04,0.05,priority-gs-positive-key-envelope-tuned,136,68,14,18,0.024591959464602214,8,112,248,0.01975308641975307,
cycle-96,96,0.04,0.1,appr-direct-ppr,18,9,10,6,0.037571046765402634,0,0,18,0.037571046765402634,
cycle-96,96,0.04,0.1,green-ball-screen-or-appr,38,9,10,6,0.037571046765402634,0,0,38,0.037571046765402634,False
cycle-96,96,0.04,0.1,priority-gs-direct-ppr,18,9,10,192,0.037571046765402634,0,0,18,0.037571046765402634,
cycle-96,96,0.04,0.1,appr-envelope,42,21,14,14,0.02480920748737018,3,42,84,0.05119999999999992,
cycle-96,96,0.04,0.1,gs-gap-envelope-oracle-stop,84,42,6,18,0.0444444444444444,2,12,96,0.06399999999999992,
