family,vertices,alpha,epsilon,rho,certified,support_nodes,support_volume,sor_work,verifier_work,active_lane_work,stage2_work,strict_two_stage_work,strict_raced_total,strict_ratio,reused_stage2_work,reused_two_stage_work,reused_raced_total,reused_ratio,semantic_error,direct_work,raced_total_work,ratio,checks,pushes
star-1024,1024,0.04,0.001,0.001,True,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005083088954056028,0,0,0.0,1,0
star-1024,1024,0.04,0.002,0.002,True,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005083088954056028,0,0,0.0,1,0
star-1024,1024,0.04,0.005,0.005,True,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005083088954056028,0,0,0.0,1,0
star-1024,1024,0.16,0.0001,0.0001,True,1024,2046,1023,4092,5115,4092,9207,16368,2.0,2047,7162,14324,1.7502443792766373,1.0847319561342647e-19,8184,10230,1.25,1,1
star-1024,1024,0.16,0.0005,0.0005,True,1,1023,1023,1023,2046,1023,3069,6138,2.0,1,2047,4094,1.3339850114043663,0.00041055718475074897,3069,4092,1.3333333333333333,1,1
star-1024,1024,0.16,0.001,0.001,True,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005669599217986533,0,0,0.0,1,0
star-1024,1024,0.16,0.002,0.002,True,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005669599217986533,0,0,0.0,1,0
star-1024,1024,0.16,0.005,0.005,True,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0005669599217986533,0,0,0.0,1,0
binary-depth-10,2047,0.01,0.0001,0.0001,True,2047,4092,16385,21910,38295,8184,46479,92958,0.7200464756003099,4093,42388,84776,0.6566692486444616,2.4532694666933983e-18,129100,76590,0.5932610379550736,14,6153
binary-depth-10,2047,0.01,0.0005,0.0005,True,255,764,2049,3732,5781,1272,7053,8352,2.0,509,6290,8352,2.0,0.0001814601250417409,4176,8352,2.0,11,691
binary-depth-10,2047,0.01,0.001,0.001,True,127,380,1025,2000,3025,632,3657,5072,2.0,253,3278,5072,2.0,0.0002255134388188047,2536,5072,2.0,10,348
binary-depth-10,2047,0.01,0.002,0.002,True,127,380,2050,1398,3448,632,4080,2556,2.0,253,3701,2556,2.0,0.0002255134388188047,1278,2556,2.0,9,693
binary-depth-10,2047,0.01,0.005,0.005,True,31,92,128,444,572,152,724,800,2.0,61,633,800,2.0,0.0005506713738429986,400,800,2.0,7,45
binary-depth-10,2047,0.04,0.0001,0.0001,True,511,1532,4098,7354,11452,2552,14004,13556,2.0,1021,12473,13556,2.0,5.908775279850249e-05,6778,13556,2.0,12,1374
binary-depth-10,2047,0.04,0.0005,0.0005,True,127,380,512,1458,1970,632,2602,4404,2.0,253,2223,4404,2.0,0.0001514123665461627,2202,3940,1.7892824704813806,9,174
binary-depth-10,2047,0.04,0.001,0.001,True,127,380,1026,1388,2414,632,3046,2320,2.0,253,2667,2320,2.0,0.0001514123665461627,1160,2320,2.0,9,348
binary-depth-10,2047,0.04,0.002,0.002,True,63,188,258,756,1014,312,1326,1152,2.0,125,1139,1152,2.0,0.0003261899622638487,576,1152,2.0,8,89
