family,vertices,alpha,epsilon,leakage_fraction,cap,succeeded,checkpoint_count,envelope_volume,priority_work,priority_pushes,gate_work,scratch_iterations,scratch_work,total_work,direct_appr_work,direct_priority_work,ratio_to_best_direct,semantic_error
cycle-96,96,0.01,0.02,0.5,100,False,5,0,396,198,5,0,0,401,328,396,1.2225609756097562,0.011315811860041998
cycle-96,96,0.01,0.02,0.75,100,False,5,0,396,198,5,0,0,401,328,396,1.2225609756097562,0.011315811860041998
cycle-96,96,0.01,0.02,0.9,100,False,5,0,396,198,5,0,0,401,328,396,1.2225609756097562,0.011315811860041998
cycle-96,96,0.01,0.02,0.99,100,False,5,0,396,198,5,0,0,401,328,396,1.2225609756097562,0.011315811860041998
cycle-96,96,0.04,0.005,0.5,400,False,5,0,296,148,5,0,0,301,368,296,1.0168918918918919,0.0036924977012629933
cycle-96,96,0.04,0.005,0.75,400,False,5,0,296,148,5,0,0,301,368,296,1.0168918918918919,0.0036924977012629933
cycle-96,96,0.04,0.005,0.9,400,False,5,0,296,148,5,0,0,301,368,296,1.0168918918918919,0.0036924977012629933
cycle-96,96,0.04,0.005,0.99,400,False,5,0,296,148,5,0,0,301,368,296,1.0168918918918919,0.0036924977012629933
cycle-96,96,0.04,0.01,0.5,200,False,4,0,206,103,4,0,0,210,198,206,1.0606060606060606,0.006176131187813972
cycle-96,96,0.04,0.01,0.75,200,False,4,0,206,103,4,0,0,210,198,206,1.0606060606060606,0.006176131187813972
cycle-96,96,0.04,0.01,0.9,200,False,4,0,206,103,4,0,0,210,198,206,1.0606060606060606,0.006176131187813972
cycle-96,96,0.04,0.01,0.99,200,False,4,0,206,103,4,0,0,210,198,206,1.0606060606060606,0.006176131187813972
cycle-96,96,0.04,0.02,0.5,100,False,4,0,96,48,4,0,0,100,164,96,1.0416666666666667,0.013894915212507675
cycle-96,96,0.04,0.02,0.75,100,False,4,0,96,48,4,0,0,100,164,96,1.0416666666666667,0.013894915212507675
cycle-96,96,0.04,0.02,0.9,100,False,4,0,96,48,4,0,0,100,164,96,1.0416666666666667,0.013894915212507675
cycle-96,96,0.04,0.02,0.99,100,False,4,0,96,48,4,0,0,100,164,96,1.0416666666666667,0.013894915212507675
cycle-96,96,0.16,0.005,0.5,400,False,4,0,60,30,4,0,0,64,70,60,1.0666666666666667,0.0034445111960837607
cycle-96,96,0.16,0.005,0.75,400,False,4,0,60,30,4,0,0,64,70,60,1.0666666666666667,0.0034445111960837607
cycle-96,96,0.16,0.005,0.9,400,False,4,0,60,30,4,0,0,64,70,60,1.0666666666666667,0.0034445111960837607
cycle-96,96,0.16,0.005,0.99,400,False,4,0,60,30,4,0,0,64,70,60,1.0666666666666667,0.0034445111960837607
cycle-96,96,0.16,0.01,0.5,200,False,4,0,54,27,4,0,0,58,54,54,1.0740740740740742,0.004175060004500354
cycle-96,96,0.16,0.01,0.75,200,False,4,0,54,27,4,0,0,58,54,54,1.0740740740740742,0.004175060004500354
cycle-96,96,0.16,0.01,0.9,200,False,4,0,54,27,4,0,0,58,54,54,1.0740740740740742,0.004175060004500354
cycle-96,96,0.16,0.01,0.99,200,False,4,0,54,27,4,0,0,58,54,54,1.0740740740740742,0.004175060004500354
cycle-96,96,0.16,0.02,0.5,100,False,3,0,36,18,3,0,0,39,32,36,1.21875,0.008408696808164168
cycle-96,96,0.16,0.02,0.75,100,False,3,0,36,18,3,0,0,39,32,36,1.21875,0.008408696808164168
cycle-96,96,0.16,0.02,0.9,100,False,3,0,36,18,3,0,0,39,32,36,1.21875,0.008408696808164168
cycle-96,96,0.16,0.02,0.99,100,False,3,0,36,18,3,0,0,39,32,36,1.21875,0.008408696808164168
star-96,96,0.01,0.005,0.5,400,True,2,190,190,96,2,2,380,572,3610,3610,0.15844875346260387,1.691355389077387e-16
star-96,96,0.01,0.005,0.75,400,True,2,190,190,96,2,2,380,572,3610,3610,0.15844875346260387,1.691355389077387e-16
star-96,96,0.01,0.005,0.9,400,True,2,190,190,96,2,2,380,572,3610,3610,0.15844875346260387,1.691355389077387e-16
star-96,96,0.01,0.005,0.99,400,True,2,190,190,96,2,2,380,572,3610,3610,0.15844875346260387,1.691355389077387e-16
star-96,96,0.01,0.01,0.5,200,True,2,190,190,96,2,2,380,572,285,285,2.007017543859649,1.691355389077387e-16
star-96,96,0.01,0.01,0.75,200,True,2,190,190,96,2,2,380,572,285,285,2.007017543859649,1.691355389077387e-16
star-96,96,0.01,0.01,0.9,200,True,2,190,190,96,2,2,380,572,285,285,2.007017543859649,1.691355389077387e-16
star-96,96,0.01,0.01,0.99,200,True,2,190,190,96,2,2,380,572,285,285,2.007017543859649,1.691355389077387e-16
star-96,96,0.01,0.02,0.5,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005315789473684197
star-96,96,0.01,0.02,0.75,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005315789473684197
star-96,96,0.01,0.02,0.9,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005315789473684197
star-96,96,0.01,0.02,0.99,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005315789473684197
star-96,96,0.04,0.005,0.5,400,True,2,190,190,96,2,2,380,572,950,950,0.6021052631578947,4.2500725161431774e-17
star-96,96,0.04,0.005,0.75,400,True,2,190,190,96,2,2,380,572,950,950,0.6021052631578947,4.2500725161431774e-17
star-96,96,0.04,0.005,0.9,400,True,2,190,190,96,2,2,380,572,950,950,0.6021052631578947,4.2500725161431774e-17
star-96,96,0.04,0.005,0.99,400,True,2,190,190,96,2,2,380,572,950,950,0.6021052631578947,4.2500725161431774e-17
star-96,96,0.04,0.01,0.5,200,False,1,0,95,1,1,0,0,96,95,95,1.0105263157894737,0.005052631578947379
star-96,96,0.04,0.01,0.75,200,False,1,0,95,1,1,0,0,96,95,95,1.0105263157894737,0.005052631578947379
star-96,96,0.04,0.01,0.9,200,False,1,0,95,1,1,0,0,96,95,95,1.0105263157894737,0.005052631578947379
star-96,96,0.04,0.01,0.99,200,True,1,95,95,1,1,0,0,96,95,95,1.0105263157894737,0.005052631578947379
star-96,96,0.04,0.02,0.5,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005473684210526324
star-96,96,0.04,0.02,0.75,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005473684210526324
star-96,96,0.04,0.02,0.9,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005473684210526324
star-96,96,0.04,0.02,0.99,100,False,0,0,0,0,0,0,0,0,0,0,0.0,0.005473684210526324
star-96,96,0.16,0.005,0.5,400,True,2,190,190,96,2,2,380,572,285,285,2.007017543859649,2.949029909160572e-17
star-96,96,0.16,0.005,0.75,400,True,2,190,190,96,2,2,380,572,285,285,2.007017543859649,2.949029909160572e-17
star-96,96,0.16,0.005,0.9,400,True,2,190,190,96,2,2,380,572,285,285,2.007017543859649,2.949029909160572e-17
star-96,96,0.16,0.005,0.99,400,True,2,190,190,96,2,2,380,572,285,285,2.007017543859649,2.949029909160572e-17
