family,vertices,alpha,epsilon,rho,exact_lane_wins,rounds,support_nodes,support_volume,active_lane_work,stage2_work,strict_two_stage_work,strict_raced_total,strict_ratio,reused_stage2_work,reused_two_stage_work,reused_raced_total,reused_ratio,semantic_error,direct_work,raced_total_work,ratio,batch_word
cycle-1024,1024,0.04,0.001,0.001,True,13,25,50,650,98,748,1376,2.0,49,699,1376,2.0,0.0005138231086172613,688,1300,1.8895348837209303,"2,2,2,2,2,2,2,2,2,2,2,2"
cycle-1024,1024,0.04,0.002,0.002,True,11,21,42,462,82,544,1088,1.9781818181818183,41,503,1006,1.829090909090909,0.0011561019943888383,550,924,1.68,"2,2,2,2,2,2,2,2,2,2"
cycle-1024,1024,0.04,0.005,0.005,False,9,17,34,306,66,372,592,2.0,33,339,592,2.0,0.002601229487374887,296,592,2.0,"2,2,2,2,2,2,2,2"
cycle-1024,1024,0.16,0.0001,0.0001,False,10,19,38,380,74,454,508,2.0,37,417,508,2.0,4.1808264765880454e-05,254,508,2.0,"2,2,2,2,2,2,2,2,2"
cycle-1024,1024,0.16,0.0005,0.0005,False,8,15,30,240,58,298,324,2.0,29,269,324,2.0,0.0002276227748364602,162,324,2.0,"2,2,2,2,2,2,2"
cycle-1024,1024,0.16,0.001,0.001,False,7,13,26,182,50,232,240,2.0,25,207,240,2.0,0.0005311198079517404,120,240,2.0,"2,2,2,2,2,2"
cycle-1024,1024,0.16,0.002,0.002,False,6,11,22,132,42,174,204,2.0,21,153,204,2.0,0.001239279551887394,102,204,2.0,"2,2,2,2,2"
cycle-1024,1024,0.16,0.005,0.005,False,5,9,18,90,34,124,120,2.0,17,107,120,2.0,0.002891652287737253,60,120,2.0,"2,2,2,2"
star-1024,1024,0.01,0.0001,0.0001,True,2,1024,2046,5115,4092,9207,18414,0.15789473684210525,2047,7162,14324,0.12282416696678157,1.0847319561342647e-19,116622,10230,0.08771929824561403,1023
star-1024,1024,0.01,0.0005,0.0005,True,1,1,1023,1023,1023,2046,4092,0.11764705882352941,1,1024,2048,0.05888103041803232,0.00048387096774164676,34782,2046,0.058823529411764705,
