family,vertices,alpha,epsilon,shock_radius,green_radius,shock_attempted,shock_passed,envelope_volume,exposure_work,shock_cg_iterations,shock_work,final_cg_iterations,final_work,total_work,direct_work,ratio,semantic_error
binary-depth-7,255,0.04,0.0005,-1,22,False,False,508,508,0,0,8,4064,4572,4592,0.9956445993031359,9.813077866773593e-18
binary-depth-7,255,0.04,0.001,-1,20,False,False,508,508,0,0,8,4064,4572,2182,2.0953253895508706,9.813077866773593e-18
binary-depth-7,255,0.04,0.002,-1,18,False,False,508,508,0,0,8,4064,4572,576,7.9375,9.813077866773593e-18
binary-depth-7,255,0.04,0.005,-1,16,False,False,0,400,0,0,0,0,610,210,2.9047619047619047,nan
binary-depth-7,255,0.16,0.0001,-1,12,False,False,508,508,0,0,8,4064,4572,1244,3.67524115755627,1.6024689053196368e-17
binary-depth-7,255,0.16,0.0005,-1,10,False,False,508,508,0,0,8,4064,4572,386,11.844559585492227,1.6024689053196368e-17
binary-depth-7,255,0.16,0.001,-1,9,False,False,508,508,0,0,8,4064,4572,186,24.580645161290324,1.6024689053196368e-17
binary-depth-7,255,0.16,0.002,-1,8,False,False,508,508,0,0,8,4064,4572,184,24.847826086956523,1.6024689053196368e-17
binary-depth-7,255,0.16,0.005,-1,7,False,False,0,400,0,0,0,0,474,74,6.405405405405405,nan
broom-48-47,96,0.01,0.0001,47,52,True,True,95,95,48,4561,0,0,4656,6312,0.7376425855513308,1.272600835195081e-06
broom-48-47,96,0.01,0.0005,-1,44,False,False,89,89,0,0,44,3916,4005,3399,1.17828773168579,1.2266327957973284e-05
broom-48-47,96,0.01,0.001,-1,41,False,False,83,83,0,0,40,3320,3403,2658,1.2802859292701279,3.159680003137257e-05
broom-48-47,96,0.01,0.002,-1,37,False,False,75,75,0,0,37,2775,2850,1789,1.593068753493572,5.904570615461598e-05
broom-48-47,96,0.01,0.005,-1,33,False,False,67,67,0,0,32,2144,2211,1162,1.9027538726333908,0.00016241448872239333
broom-48-47,96,0.04,0.0001,-1,26,False,False,53,53,0,0,26,1378,1431,985,1.4527918781725888,5.280283654543108e-06
broom-48-47,96,0.04,0.0005,-1,22,False,False,45,45,0,0,22,990,1035,631,1.6402535657686212,2.6731436411917697e-05
broom-48-47,96,0.04,0.001,-1,20,False,False,41,41,0,0,20,820,861,507,1.698224852071006,6.014573195693027e-05
broom-48-47,96,0.04,0.002,-1,18,False,False,37,37,0,0,18,666,703,344,2.0436046511627906,0.00013532789691647778
broom-48-47,96,0.04,0.005,-1,16,False,False,33,33,0,0,16,528,561,252,2.2261904761904763,0.0003044877680680237
broom-48-47,96,0.16,0.0001,-1,12,False,False,25,25,0,0,13,325,350,148,2.364864864864865,6.582059175969518e-06
broom-48-47,96,0.16,0.0005,-1,10,False,False,21,21,0,0,11,231,252,96,2.625,3.583565551361181e-05
broom-48-47,96,0.16,0.001,-1,9,False,False,19,19,0,0,10,190,209,77,2.7142857142857144,8.36165295317609e-05
broom-48-47,96,0.16,0.002,-1,8,False,False,17,17,0,0,9,153,170,60,2.8333333333333335,0.00019510523557410872
broom-48-47,96,0.16,0.005,-1,7,False,False,15,15,0,0,8,120,135,45,3.0,0.0004552455496729203
grid-12x12,144,0.01,0.0001,-1,52,False,False,528,528,0,0,35,18480,19008,38872,0.4889895040131714,2.308770676193946e-07
grid-12x12,144,0.01,0.0005,-1,44,False,False,528,528,0,0,33,17424,17952,14214,1.2629801604052342,1.0906052796749378e-06
grid-12x12,144,0.01,0.001,-1,41,False,False,528,528,0,0,31,16368,16896,7452,2.2673107890499193,5.006633383380902e-06
grid-12x12,144,0.01,0.002,-1,37,False,False,528,528,0,0,30,15840,16368,3792,4.3164556962025316,7.364607915180975e-06
grid-12x12,144,0.01,0.005,-1,33,False,False,0,400,0,0,0,0,1659,1259,1.3177124702144558,nan
grid-12x12,144,0.04,0.0001,-1,26,False,False,528,528,0,0,24,12672,13200,5004,2.6378896882494005,1.4312959865323422e-06
grid-12x12,144,0.04,0.0005,-1,22,False,False,528,528,0,0,20,10560,11088,2127,5.212976022566996,1.2888241745599763e-05
grid-12x12,144,0.04,0.001,-1,20,False,False,520,520,0,0,19,9880,10400,1491,6.975184439973172,1.7053615469821966e-05
grid-12x12,144,0.04,0.002,-1,18,False,False,496,496,0,0,17,8432,8928,880,10.145454545454545,3.1333919648744425e-05
grid-12x12,144,0.04,0.005,-1,16,False,False,0,400,0,0,0,0,764,364,2.098901098901099,nan
grid-12x12,144,0.16,0.0001,-1,12,False,False,328,328,0,0,12,3936,4264,587,7.264054514480409,2.5075470950551986e-06
grid-12x12,144,0.16,0.0005,-1,10,False,False,242,242,0,0,10,2420,2662,312,8.532051282051283,1.4630374202092695e-05
grid-12x12,144,0.16,0.001,-1,9,False,False,200,200,0,0,9,1800,2000,202,9.900990099009901,3.45025024305962e-05
grid-12x12,144,0.16,0.002,-1,8,False,False,162,162,0,0,8,1296,1458,146,9.986301369863014,8.643429534085043e-05
grid-12x12,144,0.16,0.005,-1,7,False,False,128,128,0,0,7,896,1024,76,13.473684210526315,0.00020422078946318124
