family,vertices,alpha,epsilon,radius,cap,succeeded,envelope_volume,exposure_work,cg_iterations,cg_work,lane_work,fallback_work,total_sequential_work,direct_work,lane_ratio,sequential_ratio,semantic_error
cycle-96,96,0.04,0.0001,26,20000,True,106,106,25,2650,2756,0,2756,1654,1.6662636033857317,1.6662636033857317,3.960212835679344e-06
cycle-96,96,0.04,0.0005,22,4000,True,90,90,21,1890,1980,0,1980,1014,1.952662721893491,1.952662721893491,2.0048577327658663e-05
cycle-96,96,0.04,0.001,20,2000,True,82,82,19,1558,1640,0,1640,688,2.383720930232558,2.383720930232558,4.510929897601785e-05
cycle-96,96,0.04,0.002,18,1000,True,74,74,18,1332,1406,0,1406,538,2.613382899628253,2.613382899628253,6.766394846172645e-05
cycle-96,96,0.04,0.005,16,400,True,66,66,15,990,1056,0,1056,296,3.5675675675675675,3.5675675675675675,0.0002283658260526613
cycle-96,96,0.16,0.0001,12,20000,True,50,50,12,600,650,0,650,254,2.559055118110236,2.559055118110236,7.679069038631104e-06
cycle-96,96,0.16,0.0005,10,4000,True,42,42,10,420,462,0,462,154,3.0,3.0,4.1808264765880454e-05
cycle-96,96,0.16,0.001,9,2000,True,38,38,9,342,380,0,380,120,3.1666666666666665,3.1666666666666665,9.755261778705439e-05
cycle-96,96,0.16,0.002,8,1000,True,34,34,9,306,340,0,340,102,3.3333333333333335,3.3333333333333335,9.755261778705439e-05
cycle-96,96,0.16,0.005,7,400,True,30,30,8,240,270,0,270,60,4.5,4.5,0.0002276227748364602
star-96,96,0.01,0.0001,52,20000,True,190,190,2,380,570,0,570,22135,0.02575107296137339,0.02575107296137339,6.505213034913027e-17
star-96,96,0.01,0.0005,44,4000,True,190,190,2,380,570,0,570,14535,0.0392156862745098,0.0392156862745098,6.505213034913027e-17
star-96,96,0.01,0.001,41,2000,True,190,190,2,380,570,0,570,11210,0.05084745762711865,0.05084745762711865,6.505213034913027e-17
star-96,96,0.01,0.002,37,1000,True,190,190,2,380,570,0,570,7980,0.07142857142857142,0.07142857142857142,6.505213034913027e-17
star-96,96,0.01,0.005,33,400,True,190,190,2,380,570,0,570,3610,0.15789473684210525,0.15789473684210525,6.505213034913027e-17
star-96,96,0.04,0.0001,26,20000,True,190,190,2,380,570,0,570,5605,0.1016949152542373,0.1016949152542373,4.336808689942018e-17
star-96,96,0.04,0.0005,22,4000,True,190,190,2,380,570,0,570,3705,0.15384615384615385,0.15384615384615385,4.336808689942018e-17
star-96,96,0.04,0.001,20,2000,True,190,190,2,380,570,0,570,2850,0.2,0.2,4.336808689942018e-17
star-96,96,0.04,0.002,18,1000,True,190,190,2,380,570,0,570,1995,0.2857142857142857,0.2857142857142857,4.336808689942018e-17
star-96,96,0.04,0.005,16,400,True,190,190,2,380,570,0,570,950,0.6,0.6,4.336808689942018e-17
star-96,96,0.16,0.0001,12,20000,True,190,190,2,380,570,0,570,1425,0.4,0.4,1.6374056345496258e-17
star-96,96,0.16,0.0005,10,4000,True,190,190,2,380,570,0,570,950,0.6,0.6,1.6374056345496258e-17
star-96,96,0.16,0.001,9,2000,True,190,190,2,380,570,0,570,760,0.75,0.75,1.6374056345496258e-17
star-96,96,0.16,0.002,8,1000,True,190,190,2,380,570,0,570,570,1.0,1.0,1.6374056345496258e-17
star-96,96,0.16,0.005,7,400,True,190,190,2,380,570,0,570,285,2.0,2.0,1.6374056345496258e-17
binary-depth-7,255,0.01,0.0001,52,20000,True,508,508,8,4064,4572,0,4572,44532,0.1026677445432498,0.1026677445432498,4.506943796211478e-18
binary-depth-7,255,0.01,0.0005,44,4000,True,508,508,8,4064,4572,0,4572,24082,0.1898513412507267,0.1898513412507267,4.506943796211478e-18
binary-depth-7,255,0.01,0.001,41,2000,True,508,508,8,4064,4572,0,4572,15284,0.2991363517403821,0.2991363517403821,4.506943796211478e-18
binary-depth-7,255,0.01,0.002,37,1000,True,508,508,8,4064,4572,0,4572,6452,0.7086174829510229,0.7086174829510229,4.506943796211478e-18
binary-depth-7,255,0.01,0.005,33,400,False,400,400,0,0,400,400,800,400,1.0,2.0,0.00201245012485762
binary-depth-7,255,0.04,0.0001,26,20000,True,508,508,8,4064,4572,0,4572,9692,0.47172926124638875,0.47172926124638875,9.813077866773593e-18
binary-depth-7,255,0.04,0.0005,22,4000,True,508,508,8,4064,4572,0,4572,4592,0.9956445993031359,0.9956445993031359,9.813077866773593e-18
binary-depth-7,255,0.04,0.001,20,2000,True,508,508,8,4064,4572,0,4572,2182,2.0953253895508706,2.0953253895508706,9.813077866773593e-18
binary-depth-7,255,0.04,0.002,18,1000,True,508,508,8,4064,4572,0,4572,576,7.9375,7.9375,9.813077866773593e-18
binary-depth-7,255,0.04,0.005,16,400,False,400,400,0,0,400,210,610,210,1.9047619047619047,2.9047619047619047,0.002450804721944668
binary-depth-7,255,0.16,0.0001,12,20000,True,508,508,8,4064,4572,0,4572,1244,3.67524115755627,3.67524115755627,1.6024689053196368e-17
binary-depth-7,255,0.16,0.0005,10,4000,True,508,508,8,4064,4572,0,4572,386,11.844559585492227,11.844559585492227,1.6024689053196368e-17
binary-depth-7,255,0.16,0.001,9,2000,True,508,508,8,4064,4572,0,4572,186,24.580645161290324,24.580645161290324,1.6024689053196368e-17
binary-depth-7,255,0.16,0.002,8,1000,True,508,508,8,4064,4572,0,4572,184,24.847826086956523,24.847826086956523,1.6024689053196368e-17
binary-depth-7,255,0.16,0.005,7,400,False,400,400,0,0,400,74,474,74,5.405405405405405,6.405405405405405,0.002138067800207747
broom-48-47,96,0.01,0.0001,52,20000,True,190,190,48,9120,9310,0,9310,6312,1.4749683143219265,1.4749683143219265,1.272600835195081e-06
broom-48-47,96,0.01,0.0005,44,4000,True,89,89,44,3916,4005,0,4005,3399,1.17828773168579,1.17828773168579,1.2266327957973284e-05
broom-48-47,96,0.01,0.001,41,2000,True,83,83,40,3320,3403,0,3403,2658,1.2802859292701279,1.2802859292701279,3.159680003137257e-05
broom-48-47,96,0.01,0.002,37,1000,True,75,75,37,2775,2850,0,2850,1789,1.593068753493572,1.593068753493572,5.904570615461598e-05
broom-48-47,96,0.01,0.005,33,400,True,67,67,32,2144,2211,0,2211,1162,1.9027538726333908,1.9027538726333908,0.00016241448872239333
broom-48-47,96,0.04,0.0001,26,20000,True,53,53,26,1378,1431,0,1431,985,1.4527918781725888,1.4527918781725888,5.280283654543108e-06
broom-48-47,96,0.04,0.0005,22,4000,True,45,45,22,990,1035,0,1035,631,1.6402535657686212,1.6402535657686212,2.6731436411917697e-05
broom-48-47,96,0.04,0.001,20,2000,True,41,41,20,820,861,0,861,507,1.698224852071006,1.698224852071006,6.014573195693027e-05
broom-48-47,96,0.04,0.002,18,1000,True,37,37,18,666,703,0,703,344,2.0436046511627906,2.0436046511627906,0.00013532789691647778
broom-48-47,96,0.04,0.005,16,400,True,33,33,16,528,561,0,561,252,2.2261904761904763,2.2261904761904763,0.0003044877680680237
broom-48-47,96,0.16,0.0001,12,20000,True,25,25,13,325,350,0,350,148,2.364864864864865,2.364864864864865,6.582059175969518e-06
broom-48-47,96,0.16,0.0005,10,4000,True,21,21,11,231,252,0,252,96,2.625,2.625,3.583565551361181e-05
broom-48-47,96,0.16,0.001,9,2000,True,19,19,10,190,209,0,209,77,2.7142857142857144,2.7142857142857144,8.36165295317609e-05
broom-48-47,96,0.16,0.002,8,1000,True,17,17,9,153,170,0,170,60,2.8333333333333335,2.8333333333333335,0.00019510523557410872
broom-48-47,96,0.16,0.005,7,400,True,15,15,8,120,135,0,135,45,3.0,3.0,0.0004552455496729203
grid-12x12,144,0.01,0.0001,52,20000,True,528,528,35,18480,19008,0,19008,38872,0.4889895040131714,0.4889895040131714,2.308770676193946e-07
grid-12x12,144,0.01,0.0005,44,4000,True,528,528,33,17424,17952,0,17952,14214,1.2629801604052342,1.2629801604052342,1.0906052796749378e-06
grid-12x12,144,0.01,0.001,41,2000,True,528,528,31,16368,16896,0,16896,7452,2.2673107890499193,2.2673107890499193,5.006633383380902e-06
grid-12x12,144,0.01,0.002,37,1000,True,528,528,30,15840,16368,0,16368,3792,4.3164556962025316,4.3164556962025316,7.364607915180975e-06
grid-12x12,144,0.01,0.005,33,400,False,400,400,0,0,400,1259,1659,1259,0.3177124702144559,1.3177124702144558,0.0023517597129978276
grid-12x12,144,0.04,0.0001,26,20000,True,528,528,24,12672,13200,0,13200,5004,2.6378896882494005,2.6378896882494005,1.4312959865323422e-06
grid-12x12,144,0.04,0.0005,22,4000,True,528,528,20,10560,11088,0,11088,2127,5.212976022566996,5.212976022566996,1.2888241745599763e-05
grid-12x12,144,0.04,0.001,20,2000,True,520,520,19,9880,10400,0,10400,1491,6.975184439973172,6.975184439973172,1.7053615469821966e-05
grid-12x12,144,0.04,0.002,18,1000,True,496,496,17,8432,8928,0,8928,880,10.145454545454545,10.145454545454545,3.1333919648744425e-05
grid-12x12,144,0.04,0.005,16,400,False,400,400,0,0,400,364,764,364,1.098901098901099,2.098901098901099,0.0030242926555050474
grid-12x12,144,0.16,0.0001,12,20000,True,328,328,12,3936,4264,0,4264,587,7.264054514480409,7.264054514480409,2.5075470950551986e-06
grid-12x12,144,0.16,0.0005,10,4000,True,242,242,10,2420,2662,0,2662,312,8.532051282051283,8.532051282051283,1.4630374202092695e-05
grid-12x12,144,0.16,0.001,9,2000,True,200,200,9,1800,2000,0,2000,202,9.900990099009901,9.900990099009901,3.45025024305962e-05
grid-12x12,144,0.16,0.002,8,1000,True,162,162,8,1296,1458,0,1458,146,9.986301369863014,9.986301369863014,8.643429534085043e-05
grid-12x12,144,0.16,0.005,7,400,True,128,128,7,896,1024,0,1024,76,13.473684210526315,13.473684210526315,0.00020422078946318124
