family,vertices,alpha,epsilon,cap,succeeded,trigger_radius,envelope_volume,exposure_work,attempt_count,scratch_iterations,scratch_work,fallback_work,total_work,direct_appr_work,direct_priority_work,ratio_to_best_direct,semantic_error,leakage_budget,terminal_error_bar
broom-48-47,96,0.16,0.005,400,True,7,15,190,4,15,155,0,345,48,45,7.666666666666667,0.0004552455496729203,0.0025,1.9224039012476773e-18
broom-48-47,96,0.16,0.01,200,True,7,15,190,4,14,140,0,330,35,30,11.0,0.0010622396159034808,0.005,0.00375555769328425
broom-48-47,96,0.16,0.02,100,True,7,15,63,4,14,140,0,203,27,27,7.518518518518518,0.0010622396159034808,0.01,0.00375555769328425
grid-12x12,144,0.01,0.005,400,False,-1,0,286,6,69,13278,1259,14823,1590,1259,11.7736298649722,0.0023517597129978276,0.0025,nan
grid-12x12,144,0.01,0.01,200,False,-1,0,128,5,33,2982,454,3564,400,454,8.91,0.003940099765467234,0.005,nan
grid-12x12,144,0.01,0.02,100,False,-1,0,50,4,13,422,156,628,130,156,4.8307692307692305,0.0059091035485702515,0.01,nan
grid-12x12,144,0.04,0.005,400,True,11,286,286,6,50,7844,0,8130,364,403,22.335164835164836,0.00019331973045298083,0.0025,0.00014221406982193953
grid-12x12,144,0.04,0.01,200,False,-1,0,128,5,33,2982,232,3342,228,232,14.657894736842104,0.004039471867267645,0.005,nan
grid-12x12,144,0.04,0.02,100,False,-1,0,50,4,13,422,80,552,94,80,6.9,0.008364488937377174,0.01,nan
grid-12x12,144,0.16,0.005,400,True,7,128,286,5,21,1446,0,1732,76,96,22.789473684210527,8.643429534085043e-05,0.0025,0.000414014907631945
grid-12x12,144,0.16,0.01,200,True,4,50,128,4,12,372,0,500,60,48,10.416666666666666,0.0012322463268861579,0.005,0.0010219508363582997
grid-12x12,144,0.16,0.02,100,True,4,50,50,4,11,322,0,372,28,28,13.285714285714286,0.0012322463268861579,0.01,0.0033631012583967995
